,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,292,,358,,294,,294,,292
2019-01-02,,6,292,,358,,356,,358,,324,,492,,1,,17,,24,,6,,24,
2019-01-03,18,,,294,,294,,294,,294,,294,,,294,,294,,294,,294,,294,
2019-01-04,358,,293,,294,,292,,358,,358,,358,,,,,294,,294,,292,,358
2019-01-05,,292,,,,,,358,,294,,294,,294,294,,38,,358,,38,,38,
2019-01-06,294,,1,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,292,,358,,358,,153,,152,,144,,294,,294,,294,,310,,358,
2019-01-08,309,,,,,,,,,,,,,,,1,,8,,24,,17,,152
2019-01-09,,155,17,,294,,1,,292,,4,,24,,1,,16,,24,,24,,16,
2019-01-10,16,,,,,,,,,,,,,,24,,16,,144,,144,,17,
2019-01-11,144,,16,,16,,144,,9,,16,,144,,38,,4,,6,,6,,4,
2019-01-12,17,,1,294,,294,,358,,326,,292,,293,56,,294,,292,,294,,184,
2019-01-13,179,,294,,294,,292,,294,,155,,294,,,,,,,,,4,,294
2019-01-14,,4,,293,,294,,358,,294,,326,,293,152,,154,,144,,18,,38,
2019-01-15,57,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,324,,294,,358,,294,,358,,358,,293,,19,,36,,49,,49,
2019-01-17,57,,,,,,,,,,,,,,,292,,294,,294,,294,,294
2019-01-18,,36,144,,358,,356,,24,,24,,292,,17,,49,,9,,49,,0,
2019-01-19,17,,,292,,358,,358,,358,,292,,294,294,,294,,358,,358,,294,
2019-01-20,294,,33,,294,,292,,294,,293,,358,,,,,18,,22,,19,,19
2019-01-21,,19,,19,,154,,155,,155,,128,,128,130,,16,,138,,55,,294,
2019-01-22,128,,294,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,294,,294,,294,,294,,356,,313,,294,,294,,358,,486,,294,
2019-01-24,317,,,,,,,,,,,,,,,294,,294,,294,,294,,294
2019-01-25,,294,294,,358,,294,,358,,358,,358,,294,,294,,358,,358,,294,
2019-01-26,294,,,,,,,,,,,,,,294,,294,,294,,294,,294,
2019-01-27,57,,358,,294,,358,,358,,301,,301,,19,,19,,38,,4,,37,
2019-01-28,38,,154,292,,294,,294,,294,,292,,292,292,,292,,292,,294,,294,
2019-01-29,292,,33,,4,,294,,4,,358,,25,,,,,,,,,,,
2019-01-30,,24,,24,,293,,8,,301,,9,,8,33,,2,,16,,152,,152,
2019-01-31,176,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,1,,294,,358,,144,,1,,56,,18,,176,,24,,17,,176,
2019-02-02,19,,,,,,,,,,,,,,,19,,16,,16,,144,,18
2019-02-03,,128,294,,326,,292,,147,,439,,152,,4,,1,,154,,9,,24,
2019-02-04,9,,,294,,6,,19,,294,,294,,36,6,,294,,6,,25,,19,
2019-02-05,17,,152,,185,,311,,57,,144,,153,24,,16,,16,,136,,144,,152
2019-02-06,,8,,152,,144,,144,,49,,292,,260,326,,294,,1,,294,,25,
2019-02-07,153,,294,,,,,,,,,,,,,,,,,,,,,
2019-02-08,,,294,,294,,293,,356,,317,,292,,358,,294,,260,,292,,56,
2019-02-09,184,,,,,,,,,,,,,,,9,,24,,144,,18,,147
2019-02-10,,152,24,,152,,152,,144,,24,,144,,16,,152,,128,,16,,144,
2019-02-11,24,,,,,,,,,292,,184,,,294,,358,,294,,294,,294,
2019-02-12,294,,358,,358,,356,,358,,292,,292,,294,,358,,294,,294,,358,
2019-02-13,294,,294,310,,294,,294,,152,,144,,144,147,,19,,154,,128,,128,
2019-02-14,128,,19,,,,,,,,,,,,,,,,,128,,128,,128
2019-02-15,,152,,144,,24,,24,,24,,152,,56,128,,152,,128,,147,,144,
2019-02-16,152,,294,,,,,,,,,,,,,,,,,,,,,6
2019-02-17,,309,294,,358,,358,,358,,16,,24,,358,,326,,294,,294,,309,
2019-02-18,294,,,,,,,,,,,,,,,56,,136,,294,,294,,24
2019-02-19,,294,358,,358,,294,,292,,293,,57,,0,,1,,2,,294,,49,
2019-02-20,25,,,358,,292,,294,,358,,19,,294,1,,154,,147,,294,,294,
2019-02-21,358,,24,,1,,6,,292,,16,,48,6,,294,,6,,6,,0,,6
2019-02-22,,4,,294,,294,,358,,292,,297,,24,18,,147,,24,,33,,48,
2019-02-23,6,,292,,,,,,,,,,,,,,,,,,,,,
2019-02-24,,,292,,292,,301,,294,,358,,294,,358,,51,,38,,294,,294,
2019-02-25,152,,,,,,,,,,,,,,,19,,6,,6,,70,,147
2019-02-26,,19,292,,358,,24,,356,,38,,146,,358,,294,,358,,358,,358,
2019-02-27,294,,,,,,,,,,,,,,16,,16,,9,,293,,324,
2019-02-28,1,,292,,358,,356,,358,,486,,24,,6,,294,,358,,294,,6,
2019-03-01,294,,6,294,,358,,309,,146,,294,,358,294,,358,,358,,1,,6,
2019-03-02,6,,144,,,,,,,,,,,,,,,144,,17,,152,,144
2019-03-03,,128,,33,,292,,358,,294,,294,,294,38,,294,,294,,326,,6,
2019-03-04,324,,292,,,,,,,,,,,,,,,,,,,,,
2019-03-05,,,292,,185,,152,,51,,185,,147,,1,,38,,4,,358,,294,
2019-03-06,326,,,,,,,,,,,,,,,1,,6,,4,,6,,6
2019-03-07,,1,301,,358,,358,,184,,49,,152,,138,,0,,128,,128,,16,
2019-03-08,17,,,128,,144,,128,,144,,128,,144,8,,16,,16,,16,,154,
2019-03-09,16,,294,,358,,356,,309,,292,,358,144,,144,,144,,128,,18,,24
2019-03-10,,6,,16,,144,,144,,144,,16,,16,152,,144,,144,,144,,152,
2019-03-11,152,,24,,,,,,,,,,,,,,,,,,,,,
2019-03-12,,,56,,48,,16,,48,,301,,293,,9,,130,,128,,16,,144,
2019-03-13,144,294,,,,,,,,,,56,,,,502,,262,,294,,292,,294
2019-03-14,,6,41,,0,,6,,358,,1,,4,,358,,358,,294,,358,,294,
2019-03-15,294,,,,,,,,,,,294,,,18,,176,,128,,152,,54,
2019-03-16,146,,24,,6,,17,,0,,176,,152,,4,,6,,24,,0,,4,
2019-03-17,1,,6,4,,4,,356,,292,,292,,294,,,,,,,,,,
2019-03-18,,,19,,,,,,,,,,,,,,,,,1,,1,,292
2019-03-19,,292,,,,,,358,,294,,292,,358,294,,0,,294,,358,,36,
2019-03-20,358,,294,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,17,,25,,304,,24,,24,,16,,6,,6,,6,,6,,326,
2019-03-22,1,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,358,,293,,358,,294,,317,,294,,152,,147,,6,,154,,18,
2019-03-24,130,,,294,,358,,358,,294,,294,,358,294,,294,,358,,358,,294,
2019-03-25,38,,17,,294,,292,,358,,356,,294,294,,49,,38,,38,,294,,4
2019-03-26,,6,,6,,51,,6,,147,,311,,154,147,,128,,128,,130,,128,
2019-03-27,152,,147,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,33,,155,,154,,22,,439,,176,,38,,358,,294,,358,,358,
2019-03-29,294,,,,,,,,,,,,,,,294,,294,,294,,294,,6
2019-03-30,,6,144,,152,,154,,128,,176,,152,,154,,144,,130,,38,,144,
2019-03-31,144,,,,,,,,,,,294,,,294,,294,,358,,262,,22,
2019-04-01,4,,292,,358,,293,,358,,358,,293,,130,,6,,6,,38,,150,
2019-04-02,147,,153,292,,358,,294,,294,,292,,294,,,,,,,,,,
2019-04-03,,,358,,,,,,,,,,,,,,,294,,147,,146,,154
2019-04-04,,6,,292,,358,,358,,486,,292,,292,147,,138,,6,,128,,130,
2019-04-05,146,,294,,,,,,,,,,,,,,,,,,,,,
2019-04-06,,,358,,358,,292,,294,,292,,358,,22,,146,,155,,147,,138,
2019-04-07,146,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,358,,294,,292,,358,,294,,292,,36,,6,,358,,6,,6,
2019-04-09,6,,,294,,358,,294,,294,,294,,6,292,,6,,146,,262,,36,
2019-04-10,326,,292,,356,,311,,301,,297,,57,502,,502,,358,,128,,38,,294
2019-04-11,,4,,294,,292,,294,,294,,292,,38,294,,24,,17,,294,,16,
2019-04-12,294,,294,,,,,,,,,,,,,,,,,,,,,
