,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,,,104.3712757201646,,104.3712757201646,,104.3712757201646,,104.3712757201646
2019-01-02,,104.3712757201646,,104.3712757201646,154.61201646090535,104.3712757201646,154.61201646090535,104.3712757201646,154.61201646090535,104.3712757201646,154.61201646090535,104.3712757201646,154.61201646090535,104.3712757201646,154.61201646090535,,121.07802469135802,,121.07802469135802,,121.07802469135802,,121.07802469135802,
2019-01-03,121.07802469135802,,121.07802469135802,,121.07802469135802,182.23901234567901,121.07802469135802,182.23901234567901,121.07802469135802,182.23901234567901,121.07802469135802,182.23901234567901,121.07802469135802,182.23901234567901,,182.23901234567901,139.86617283950616,182.23901234567901,139.86617283950616,182.23901234567901,139.86617283950616,182.23901234567901,139.86617283950616,182.23901234567901
2019-01-04,139.86617283950616,182.23901234567901,139.86617283950616,,224.94584362139918,,224.94584362139918,,224.94584362139918,,224.94584362139918,,224.94584362139918,,224.94584362139918,,224.94584362139918,,224.94584362139918,133.66181069958847,224.94584362139918,133.66181069958847,224.94584362139918,133.66181069958847
2019-01-05,224.94584362139918,133.66181069958847,224.94584362139918,,,,,,,,,,,,,,,,,,,,,
2019-01-06,,,,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,,170.52362139917696,
2019-01-07,170.52362139917696,,,,144.98691358024692,51.260329218106996,144.98691358024692,51.260329218106996,144.98691358024692,51.260329218106996,144.98691358024692,51.260329218106996,144.98691358024692,,144.98691358024692,,126.7643621399177,,126.7643621399177,,126.7643621399177,,126.7643621399177,
2019-01-08,126.7643621399177,,126.7643621399177,,126.7643621399177,,126.7643621399177,,126.7643621399177,,126.7643621399177,,126.7643621399177,,,,,56.19432098765432,,56.19432098765432,,56.19432098765432,,56.19432098765432
2019-01-09,,56.19432098765432,,56.19432098765432,149.54477366255145,56.19432098765432,149.54477366255145,56.19432098765432,149.54477366255145,56.19432098765432,149.54477366255145,56.19432098765432,149.54477366255145,56.19432098765432,149.54477366255145,,63.81390946502058,,63.81390946502058,,63.81390946502058,,63.81390946502058,
2019-01-10,63.81390946502058,,63.81390946502058,,63.81390946502058,,63.81390946502058,,63.81390946502058,,63.81390946502058,,63.81390946502058,109.67316872427983,,109.67316872427983,57.27028806584362,109.67316872427983,57.27028806584362,109.67316872427983,57.27028806584362,109.67316872427983,57.27028806584362,109.67316872427983
2019-01-11,57.27028806584362,109.67316872427983,57.27028806584362,,57.27028806584362,,57.27028806584362,,57.27028806584362,,57.27028806584362,,57.27028806584362,,,,,,,,,,,
2019-01-12,,,,,,167.060658436214,,167.060658436214,,167.060658436214,,167.060658436214,,167.060658436214,,167.060658436214,68.46831275720164,167.060658436214,68.46831275720164,167.060658436214,68.46831275720164,167.060658436214,68.46831275720164,167.060658436214
2019-01-13,68.46831275720164,167.060658436214,68.46831275720164,,177.06238683127572,,177.06238683127572,,177.06238683127572,,177.06238683127572,,177.06238683127572,,177.06238683127572,,177.06238683127572,,177.06238683127572,,177.06238683127572,95.7433744855967,177.06238683127572,95.7433744855967
2019-01-14,177.06238683127572,95.7433744855967,177.06238683127572,95.7433744855967,,166.03637860082304,,166.03637860082304,,166.03637860082304,,166.03637860082304,,166.03637860082304,,166.03637860082304,94.41226337448559,166.03637860082304,94.41226337448559,166.03637860082304,94.41226337448559,166.03637860082304,94.41226337448559,166.03637860082304
2019-01-15,94.41226337448559,166.03637860082304,94.41226337448559,,94.41226337448559,,94.41226337448559,,94.41226337448559,,94.41226337448559,,94.41226337448559,,,,,,,,,,,
2019-01-16,,,,,146.9474074074074,,146.9474074074074,,146.9474074074074,,146.9474074074074,,146.9474074074074,57.08971193415638,146.9474074074074,,99.15662551440329,,99.15662551440329,,99.15662551440329,,99.15662551440329,
2019-01-17,99.15662551440329,,99.15662551440329,,99.15662551440329,,99.15662551440329,,99.15662551440329,,99.15662551440329,,99.15662551440329,,,,,80.38584362139918,,,,,,
2019-01-18,,,,,136.19604938271604,,136.19604938271604,,136.19604938271604,,136.19604938271604,,136.19604938271604,,136.19604938271604,,79.8966255144033,,79.8966255144033,,79.8966255144033,,79.8966255144033,
2019-01-19,79.8966255144033,,79.8966255144033,,79.8966255144033,146.7882304526749,79.8966255144033,146.7882304526749,79.8966255144033,146.7882304526749,79.8966255144033,146.7882304526749,79.8966255144033,146.7882304526749,,146.7882304526749,108.53818930041152,146.7882304526749,108.53818930041152,146.7882304526749,108.53818930041152,146.7882304526749,108.53818930041152,146.7882304526749
2019-01-20,108.53818930041152,146.7882304526749,108.53818930041152,,108.53818930041152,,201.95810699588478,,201.95810699588478,,201.95810699588478,,201.95810699588478,,201.95810699588478,,201.95810699588478,,201.95810699588478,88.62024691358025,201.95810699588478,88.62024691358025,201.95810699588478,88.62024691358025
2019-01-21,201.95810699588478,88.62024691358025,,88.62024691358025,,134.43860082304528,,134.43860082304528,,134.43860082304528,,134.43860082304528,,134.43860082304528,,134.43860082304528,97.24395061728396,134.43860082304528,97.24395061728396,134.43860082304528,97.24395061728396,134.43860082304528,97.24395061728396,134.43860082304528
2019-01-22,97.24395061728396,134.43860082304528,97.24395061728396,,155.7,,155.7,,155.7,,155.7,,155.7,,155.7,,155.7,,155.7,,155.7,,155.7,
2019-01-23,155.7,,,85.56938271604939,178.55037037037036,85.56938271604939,178.55037037037036,85.56938271604939,178.55037037037036,85.56938271604939,178.55037037037036,85.56938271604939,178.55037037037036,85.56938271604939,178.55037037037036,,132.440329218107,,132.440329218107,,132.440329218107,,132.440329218107,
2019-01-24,132.440329218107,,132.440329218107,,132.440329218107,,132.440329218107,,132.440329218107,,132.440329218107,,132.440329218107,,,,,92.30921810699589,,92.30921810699589,,92.30921810699589,,92.30921810699589
2019-01-25,,92.30921810699589,,92.30921810699589,192.28732510288066,92.30921810699589,192.28732510288066,92.30921810699589,192.28732510288066,92.30921810699589,192.28732510288066,92.30921810699589,192.28732510288066,92.30921810699589,192.28732510288066,,125.17884773662551,,125.17884773662551,,125.17884773662551,,125.17884773662551,
2019-01-26,125.17884773662551,,125.17884773662551,,125.17884773662551,,125.17884773662551,,125.17884773662551,,125.17884773662551,,125.17884773662551,171.9248559670782,,171.9248559670782,93.27078189300411,171.9248559670782,93.27078189300411,171.9248559670782,93.27078189300411,171.9248559670782,93.27078189300411,171.9248559670782
2019-01-27,93.27078189300411,171.9248559670782,93.27078189300411,,198.30362139917696,,198.30362139917696,,198.30362139917696,,198.30362139917696,,198.30362139917696,,198.30362139917696,,63.461810699588476,,63.461810699588476,,63.461810699588476,,63.461810699588476,
2019-01-28,63.461810699588476,,63.461810699588476,,63.461810699588476,172.44106995884775,63.461810699588476,172.44106995884775,63.461810699588476,172.44106995884775,63.461810699588476,172.44106995884775,63.461810699588476,172.44106995884775,,172.44106995884775,89.65958847736626,172.44106995884775,89.65958847736626,172.44106995884775,89.65958847736626,172.44106995884775,89.65958847736626,172.44106995884775
2019-01-29,89.65958847736626,172.44106995884775,89.65958847736626,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,,195.95604938271606,
2019-01-30,195.95604938271606,,,,,140.45242798353908,,140.45242798353908,,140.45242798353908,,140.45242798353908,,140.45242798353908,,140.45242798353908,80.59086419753086,140.45242798353908,80.59086419753086,140.45242798353908,80.59086419753086,140.45242798353908,80.59086419753086,140.45242798353908
