,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,293.3333333333333,,,,294.0,,,,275.875
2019-01-02,,,294.0,,,,337.36842105263156,,,,331.93333333333334,,,,31.0,,,,16.0,,,,43.27777777777778,
2019-01-03,,,,294.0,,,,294.0,,,,294.0,,,294.0,,,,294.0,,,,293.7692307692308,
2019-01-04,,,293.0,,,,292.6666666666667,,,,339.7142857142857,,,,,,,,,,,294.0,,
2019-01-05,,294.0,,24.0,,,,147.5,,,,164.25,,,41.0,,,,165.5,,,,249.2,
2019-01-06,,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,314.6666666666667,,,,337.22727272727275,,,,319.47222222222223,,,,259.14285714285717,,,,234.86206896551724,,,,271.3469387755102,
2019-01-08,,,,,,,,,,,,,,,,13.0,,,,86.42857142857143,,,,112.94117647058823
2019-01-09,,,150.5,,,,273.84615384615387,,,,211.16666666666666,,,,3.0,,,,56.833333333333336,,,,14.88888888888889,
2019-01-10,,,,,,,,,,,,,,,116.0,,,,38.0,,,,50.15384615384615,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,,,,293.0,,,,319.6,,,,318.8888888888889,,,257.3333333333333,,,,274.0,,,,291.3,
2019-01-13,,,122.33333333333333,,,,104.27272727272727,,,,107.0,,,,,,,,,,,,,
2019-01-14,,,,293.0,,,,211.125,,,,314.5,,,150.66666666666666,,,,147.77777777777777,,,,137.83333333333334,
2019-01-15,,,16.0,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,195.6,,,,190.72222222222223,,,,195.55172413793105,,,,111.0,,,,112.94117647058823,,,,115.70370370370371,
2019-01-17,,,,,,,,,,,,,,,,292.0,,,,294.0,,,,294.0
2019-01-18,,,124.07692307692308,,,,115.55357142857143,,,,140.34972677595627,,,,139.73333333333332,,,,81.79166666666667,,,,62.110236220472444,
2019-01-19,,,,292.0,,,,332.4,,,,333.75,,,292.6666666666667,,,,334.54545454545456,,,,322.8,
2019-01-20,,,,,,,,,,,310.0,,,,,,,,,,,19.0,,
2019-01-21,,18.0,,144.41666666666666,,,,142.62790697674419,,,,134.19402985074626,,,116.61904761904762,,,,110.38666666666667,,,,125.43103448275862,
2019-01-22,,,300.0,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,309.75,,,,293.92857142857144,,,,306.72727272727275,,,,306.4,,,,313.2352941176471,,,,305.0344827586207,
2019-01-24,,,,,,,,,,,,,,,,294.0,,,,294.0,,,,294.0
2019-01-25,,,293.5,,,,341.875,,,,358.0,,,,294.0,,,,304.6666666666667,,,,330.57142857142856,
