,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,,,,,293.5,294.0,294.0,293.42857142857144,293.0
2019-01-02,292.90909090909093,293.8888888888889,,315.8333333333333,320.5,322.0625,318.9,326.5,326.69444444444446,315.74285714285713,305.94444444444446,275.71875,273.5365853658537,350.37931034482756,,,1.0,,25.0,25.0,20.0,14.0,22.0,15.0
2019-01-03,17.25,,,,,,,,,294.0,294.0,326.0,358.0,,294.0,,,,,,,,,
2019-01-04,,,,,358.0,,,336.6666666666667,325.5,325.5,330.2857142857143,325.5,316.0,,,,326.0,294.0,,,,,294.0,294.0
2019-01-05,294.0,,294.0,,,,,,,,,36.0,,358.0,,,,,,294.0,,358.0,231.0,167.5
2019-01-06,36.0,294.0,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,292.0,,325.0,314.0,311.42857142857144,299.3333333333333,293.84615384615387,309.0769230769231,276.3888888888889,235.8095238095238,294.0,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,25.0,105.0,164.5,145.5,149.5,153.5
2019-01-09,155.0,151.33333333333334,,266.1666666666667,130.58333333333334,51.23076923076923,47.75,46.2,64.5,74.43333333333334,99.17647058823529,123.10526315789474,179.175,206.59183673469389,1.0,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,66.66666666666667,66.66666666666667,88.0,24.0,85.0,85.5,144.0,114.57142857142857,138.57142857142858
2019-01-11,150.75,103.72727272727273,,96.0,53.666666666666664,71.0,63.111111111111114,73.33333333333333,59.125,91.92857142857143,85.33333333333333,91.5,76.55319148936171,62.698113207547166,38.0,,,,,,,,,
2019-01-12,,,,,,,,,314.6666666666667,358.0,342.0,318.0,310.0,310.0,184.0,,,,,,,,,
2019-01-13,,,,165.25,85.14285714285714,83.77777777777777,100.88888888888889,121.63636363636364,61.388888888888886,113.4090909090909,114.21739130434783,69.82352941176471,92.0625,,,,,,,,,,,
2019-01-14,,,,,146.5,169.0,253.14285714285714,309.875,322.27272727272725,307.7692307692308,321.07142857142856,327.4117647058824,323.5882352941176,316.90909090909093,,,,150.0,86.0,118.25,116.5,122.0,150.6,149.6
2019-01-15,133.625,148.8,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,309.0,294.0,253.5,277.3333333333333,250.66666666666666,314.0833333333333,334.94117647058823,334.57142857142856,296.23809523809524,293.0,,197.66666666666666,102.0,6.0,38.0,134.0,159.66666666666666,154.16666666666666,130.33333333333334
2019-01-17,112.75,,,,,,,,,,,,,,,,,,,,,294.0,292.0,294.0
2019-01-18,294.0,,,168.0,245.33333333333334,228.0,140.57142857142858,180.0,166.23529411764707,262.25,325.3170731707317,313.11475409836066,320.68831168831167,323.2795698924731,84.5,,,,,,,,,
2019-01-19,,,,,,,,,294.0,294.0,292.0,326.0,,,294.0,,,,,,,,,
2019-01-20,,,,,,,,,33.0,294.0,294.0,294.0,,,,,,,,,,,20.5,
2019-01-21,6.0,,22.0,,144.0,19.0,19.0,123.75,123.75,164.14285714285714,161.35714285714286,171.57894736842104,175.04,179.72972972972974,132.0,,,,,,,,,
2019-01-22,,,292.0,,,,,,,,,,,,,,,,,,,,,
