,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,,,,294,294,294,358,294,294
2019-01-02,294,358,292,294,358,292,356,292,358,292,293,297,292,292,,56,25,36,36,1,25,25,25,16
2019-01-03,152,,,294,294,294,294,294,294,294,294,294,294,,294,294,294,294,292,294,294,294,294,294
2019-01-04,294,358,,,293,,,292,292,294,358,294,292,,,,,,294,294,,,294,
2019-01-05,294,294,,,,,,,,,,24,1,,,,,,,,,38,,358
2019-01-06,294,293,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,292,292,356,358,294,294,294,358,294,51,294,294,54,294,294,293,294,,38
2019-01-08,54,,,,,,,,,,,,,,,,,1,1,24,147,146,152,152
2019-01-09,146,146,,294,294,294,293,358,294,17,24,24,358,292,18,17,17,1,24,17,24,24,17,24
2019-01-10,152,,,,,,,,,,,,,,,144,25,25,25,8,144,144,24,152
2019-01-11,147,147,184,152,185,185,144,152,152,152,144,144,144,56,38,6,38,294,38,294,6,294,294,294
2019-01-12,38,294,294,,,,294,294,294,292,292,356,356,292,,,146,6,147,6,262,292,486,294
2019-01-13,294,19,,19,294,33,447,358,356,294,292,292,356,,,,,,,,,,,
2019-01-14,,,,,,293,292,358,294,294,294,294,294,358,,152,,144,154,152,147,147,19,155
2019-01-15,19,48,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,292,292,358,358,356,294,294,326,184,,294,6,17,17,146,144,144,146,146
2019-01-17,146,,,,,,,,,,,,,,,,,,294,,292,,294,294
2019-01-18,294,294,,153,144,176,144,152,176,176,24,153,55,144,152,152,152,128,128,147,19,130,146,294
2019-01-19,154,,,292,,,,,358,,,294,,294,,,294,,,294,294,294,294,
2019-01-20,294,294,,,,,,,294,,294,294,294,,,,,,,,,19,,
2019-01-21,18,18,16,,,,51,51,144,154,144,144,147,154,130,128,144,138,294,128,138,138,128,292
2019-01-22,317,422,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,,294,,294,293,292,292,294,294,293,292,294,294,294,358,294,358,358,292,292
2019-01-24,292,,,,,,,,,,,,,,,,294,,,294,,294,294,
2019-01-25,,,,,,358,358,358,293,292,292,358,358,358,,,294,,358,294,294,292,292,358
2019-01-26,358,,,,,,,,,,,,,,294,294,294,294,294,358,358,358,358,358
2019-01-27,358,294,,292,358,358,358,358,358,294,301,294,293,292,,19,,,19,19,,19,19,19
2019-01-28,19,154,19,,,292,294,,294,294,358,358,358,293,,,,292,358,292,294,294,4,326
2019-01-29,294,294,,4,17,292,292,441,292,293,301,292,293,,,,,,,,,,,
2019-01-30,,,,,,24,,36,9,,17,17,294,37,,,,,,,33,,6,147
2019-01-31,147,6,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,1,,294,358,33,293,33,144,,184,19,176,176,19,24,,19,152
2019-02-02,176,,,,,,,,,,,,,,,,,,,,154,144,19,19
2019-02-03,144,144,,38,294,294,294,6,9,152,152,145,145,144,,6,1,2,1,4,4,1,1,19
2019-02-04,1,,,,294,,294,294,294,294,294,358,292,294,,4,0,0,0,0,0,0,4,4
2019-02-05,4,4,,,152,152,24,144,152,152,152,9,25,,16,24,24,144,16,16,16,128,144,144
2019-02-06,24,144,136,,,24,16,16,176,25,152,144,19,153,292,454,198,198,326,326,326,6,6,358
2019-02-07,358,326,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,,,,294,294,293,292,358,358,294,301,292,37,24,294,358,358,358,358,294,292,358,36,292
2019-02-09,294,,,,,,,,,,,,,,,,,,,,,,,
2019-02-10,,,,,24,,,17,144,16,152,144,152,152,,16,24,16,16,16,16,24,144,16
2019-02-11,24,,,,,,,,,,,,,,294,294,358,358,294,294,294,294,358,294
2019-02-12,294,292,,,,294,294,358,358,358,292,292,292,292,,,,,,,294,294,294,294
2019-02-13,294,294,294,,,,,294,293,292,310,144,152,54,144,19,146,128,146,25,146,147,152,128
2019-02-14,144,152,,,,,,,,,,,,,,,,,,,,154,128,128
2019-02-15,128,128,128,,24,24,25,16,136,144,144,152,152,1,6,130,25,152,6,130,128,128,128,130
2019-02-16,144,0,,,,,,,,,,,,,,,,,,,,,,
2019-02-17,,,,41,,6,294,6,358,358,152,147,9,53,358,294,294,294,294,358,292,294,292,292
2019-02-18,358,,,,,,,,,,,,,,,,,,,,,,24,144
2019-02-19,144,128,,358,294,358,294,358,292,292,292,292,294,292,9,24,24,19,38,9,0,2,24,48
2019-02-20,18,,,,,292,,292,292,294,294,358,294,292,4,294,294,152,56,19,152,152,176,176
2019-02-21,152,152,,,24,,24,16,1,8,1,24,24,294,294,6,294,6,294,294,294,294,17,17
2019-02-22,294,6,6,,,,,,294,292,294,292,293,292,38,2,2,24,186,18,24,25,214,16
2019-02-23,309,309,294,,,,,,,,,,,,,,,,,,,,,
2019-02-24,,,,,,,358,356,356,358,294,292,356,294,,358,294,358,294,358,294,294,358,294
2019-02-25,292,,,,,,,,,,,,,,,,,,154,,176,176,176,6
2019-02-26,6,6,,,,292,294,294,294,358,294,219,219,176,294,294,294,,294,36,358,358,294,292
2019-02-27,292,,,,,,,,,,,,,,,,,16,,,176,25,24,24
2019-02-28,153,144,,,292,293,356,356,358,356,356,294,294,294,6,294,294,358,358,294,358,294,294,294
2019-03-01,358,294,294,,,292,,292,292,358,294,294,292,292,294,294,358,36,358,294,294,294,358,292
2019-03-02,33,36,,,,,,,,,,,,,,,,,128,19,128,24,24,128
2019-03-03,152,146,24,1,33,33,4,292,33,358,358,294,4,294,294,33,358,358,293,36,36,262,37,38
2019-03-04,294,292,,,,,,,,,,,,,,,,,,,,,,
2019-03-05,,,292,313,17,185,54,185,153,176,57,152,432,24,,36,17,25,2,144,2,24,24,16
2019-03-06,24,,,,,,,,,,,,,,,,,6,,0,4,6,0,0
2019-03-07,18,4,,1,38,38,6,292,294,313,0,49,390,9,,128,0,128,128,128,16,128,144,144
2019-03-08,128,,,,128,,128,128,128,128,128,144,152,144,24,16,24,24,24,128,48,48,24,24
2019-03-09,144,56,,292,294,292,294,292,294,292,292,294,294,,152,17,17,128,144,,152,,17,144
2019-03-10,128,,128,,,,,48,16,16,24,144,176,16,16,152,176,144,152,24,144,152,152,153
2019-03-11,144,144,24,,,,,,,,,,,,,,,,,,,,,
2019-03-12,,,,,56,48,16,288,48,48,0,48,16,48,146,17,48,16,155,155,16,24,128,144
2019-03-13,144,,,,,,,,,,,,,,,6,1,0,6,4,4,292,292,4
2019-03-14,1,1,,9,293,293,4,36,4,294,358,358,9,1,,358,358,294,294,294,358,292,358,358
2019-03-15,292,,,,,,,,,,,,,,,176,1,1,144,16,154,24,19,146
2019-03-16,144,144,,0,176,176,144,144,24,24,25,17,17,144,,,1,4,24,6,17,1,24,6
2019-03-17,6,6,18,,292,292,292,294,294,38,292,294,147,0,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,358,,,292,294,292,292,292,,294,,,294,36,36,358,358,294
2019-03-20,6,294,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,24,25,1,1,56,9,1,1,25,17,144,144,,0,0,,6,1,6,6,6,0
2019-03-22,2,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,,,,294,358,292,294,358,358,294,292,294,,19,55,6,18,18,150,130,152,154
2019-03-24,0,,,,292,,294,294,294,358,358,176,176,22,294,294,294,262,358,294,294,294,262,294
2019-03-25,358,358,,,17,,,294,292,292,356,356,356,,,,,,,,36,4,6,6
2019-03-26,6,6,4,,49,49,51,22,56,55,152,294,294,154,147,146,144,130,128,130,152,24,128,144
2019-03-27,19,16,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,,,,54,358,294,311,294,182,297,292,185,,358,358,358,358,358,358,6,358,294
2019-03-29,262,,,,,,,,,,,,,,,,294,294,294,294,358,358,358,358
2019-03-30,294,358,,144,144,152,144,144,154,152,154,144,0,18,152,128,19,128,144,146,146,144,146,128
2019-03-31,144,,,,,,,,,,,,,,,294,294,358,294,294,38,358,294,358
2019-04-01,406,294,292,358,358,358,292,292,358,358,294,292,294,358,,,130,,,6,,6,,6
2019-04-02,22,22,22,,,,,294,292,358,358,292,292,38,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,6,6,6,18,18,19,24,24
2019-04-04,24,,,,,292,,294,294,294,358,294,292,358,128,18,18,128,128,144,144,128,128,144
2019-04-05,160,146,,,,,,,,,,,,,,,,,,,,,,
2019-04-06,,,,294,,358,294,292,358,358,358,358,294,297,6,6,6,128,18,6,6,6,130,6
2019-04-07,294,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,,292,,,,358,294,294,294,358,294,486,,294,294,358,262,36,38,6,6,70
2019-04-09,358,,,,,,,294,294,294,358,294,358,294,,18,128,19,130,144,144,138,138,128
2019-04-10,128,130,,358,358,293,292,294,326,55,292,38,313,438,502,358,494,502,294,510,294,310,502,510
2019-04-11,510,510,439,,294,292,292,294,358,310,294,294,294,289,294,294,18,18,18,294,358,18,358,358
2019-04-12,358,294,36,,,,,,,,,,,,,,,,,,,,,
2019-04-13,,,,,17,294,294,38,294,294,294,294,294,294,,16,6,17,17,6,2,19,18,24
2019-04-14,19,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,,,,294,,,294,294,55,55,184,184,179,294,,19,,,6,19,6,18,19,19
2019-04-16,19,,,,,,,,,,,,,,,6,294,294,262,292,292,326,326,326
2019-04-17,358,358,,292,294,358,294,292,16,297,24,297,17,329,6,6,6,2,2,2,2,17,144,176
2019-04-18,176,176,19,,294,294,294,294,294,358,358,294,294,294,,,,,,,,,,
2019-04-19,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-20,,,,,294,294,294,294,356,294,292,292,301,292,6,358,294,6,6,6,294,358,358,294
2019-04-21,24,6,,,,,,,,,,,,,,,,,,,,,,
2019-04-22,,,,,128,128,138,128,130,128,154,154,147,147,,6,18,18,6,6,6,6,146,146
2019-04-23,16,,,,,,,,,,,,,,,,6,49,2,160,18,19,144,19
2019-04-24,19,22,,,,152,9,152,144,19,147,152,152,19,19,18,2,2,2,2,24,6,17,1
2019-04-25,155,,,,294,358,358,294,294,294,294,294,294,294,,,,,,4,6,6,,6
2019-04-26,6,6,,294,358,358,358,294,294,294,294,292,292,,138,18,128,128,16,152,,24,24,19
2019-04-27,16,6,6,,,,292,294,294,294,294,294,294,294,6,6,6,6,38,38,358,294,358,294
2019-04-28,294,33,,,,,,,,,,,,,,,,,,,,,,
2019-04-29,,,,,292,18,358,294,294,294,356,292,293,24,,19,130,146,146,146,146,130,6,154
2019-04-30,147,,,,,,,,,,,,,,,,294,6,6,6,38,38,,
2019-05-01,6,6,,,294,294,358,358,358,292,358,294,292,292,,358,326,326,294,294,294,294,262,358
2019-05-02,262,,,,,,,,,,,,,,,,2,6,146,,18,6,6,146
2019-05-03,147,138,144,176,176,297,9,25,25,153,24,56,18,25,6,262,294,294,326,326,262,262,,6
2019-05-04,6,6,294,,,,,,,294,294,294,294,294,,358,262,22,19,19,18,358,6,146
2019-05-05,6,294,,,,,,,,,,,,,,,,,,,,,,
2019-05-06,,,,,294,294,294,294,54,55,309,49,51,185,146,22,147,18,18,130,146,138,6,147
2019-05-07,147,130,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,,,,294,294,358,358,294,294,438,292,309,292,358,6,2,16,6,6,6,6,6,6,358
2019-05-09,6,,,,,,,,,,,,,,,,,,18,6,6,0,160,147
2019-05-10,1,152,19,6,146,0,152,179,292,176,144,293,144,144,,0,6,16,2,19,19,2,17,152
2019-05-11,1,,,,,,,,1,36,324,324,1,1,18,,24,24,6,6,24,2,6,6
2019-05-12,24,18,,,,,1,57,1,2,176,6,6,,,,,,2,2,18,18,24,128
2019-05-13,9,18,24,,,,,153,144,17,19,24,24,,,128,,,144,,176,176,144,144
2019-05-14,144,128,,,,,,,,,,,,,,,,,,,,,,
2019-05-15,,,,358,358,358,294,294,294,358,294,294,294,294,,,326,70,6,6,6,19,6,262
2019-05-16,6,,,,,,,,,,,,,,,,,,130,128,128,128,152,152
2019-05-17,19,19,,6,294,6,22,128,294,265,294,144,136,136,294,6,294,294,146,358,358,294,6,262
2019-05-18,294,,,,,,,,,,,,,,294,358,358,358,294,358,358,294,294,36
2019-05-19,294,294,,,292,,,294,292,293,356,292,301,294,147,,130,130,144,130,130,152,16,16
2019-05-20,154,146,130,,144,144,16,16,0,56,48,16,24,152,154,152,130,147,130,19,146,162,144,128
2019-05-21,154,25,,,,,,,,,,,,,,,,294,38,38,6,6,6,16
2019-05-22,294,38,38,,,,292,358,294,292,294,293,294,310,358,358,326,358,326,502,294,294,441,17
2019-05-23,294,358,,,,,,,,,,,,,,,,,,,,,,
2019-05-24,,,,,,,358,358,292,358,294,294,293,294,,358,,294,294,294,,294,358,294
2019-05-25,294,,,,,,,,,,,,,,,,,,4,6,6,6,2,6
2019-05-26,6,18,,,,,,2,19,292,49,1,294,152,6,6,6,2,144,304,144,24,24,17
2019-05-27,17,,,,,,,294,294,294,294,294,294,294,358,502,358,294,358,146,294,262,358,6
2019-05-28,358,358,,292,,358,294,294,294,292,292,292,294,,294,294,294,38,6,6,6,6,6,294
2019-05-29,6,22,150,,,,16,152,24,24,24,24,24,17,358,294,294,358,358,294,294,,294,358
2019-05-30,358,294,,,,,,,,,,,,,,,,,,,,,,
2019-05-31,,,,358,294,294,358,358,358,358,358,292,294,294,,6,2,2,19,0,19,16,2,1
2019-06-01,18,,,,,,,,,,,,,,,,,,24,0,0,,4,
2019-06-02,1,0,,,,,262,294,294,6,260,1,262,17,,,,1,17,2,6,17,17,1
2019-06-03,17,,,,,,,,,,,,,,,17,17,144,138,152,128,146,56,146
2019-06-04,16,146,,292,326,294,38,38,0,38,294,326,326,294,,128,128,1,0,16,16,448,40,289
2019-06-05,48,265,265,,,,,6,294,0,0,294,294,37,19,2,6,147,18,6,6,70,326,6
2019-06-06,326,326,,,,,,326,294,358,294,294,1,,,,,,,,,,,
2019-06-07,,,,,,,54,54,54,294,358,294,292,326,6,70,6,6,70,70,6,6,6,6
2019-06-08,70,70,,,,,,,,,,,,,,,,,,,,,,
2019-06-09,,,,,260,294,294,294,358,358,358,358,358,292,,2,6,18,2,6,2,2,128,128
2019-06-10,152,,,,,,,,,,,,,,,,0,0,1,16,16,0,297,
2019-06-11,1,0,,,,,,0,294,4,292,260,260,294,,6,6,6,6,1,1,4,4,6
2019-06-12,6,,,,294,,294,358,358,294,358,358,358,358,,6,6,6,6,6,6,6,2,17
2019-06-13,17,1,,358,292,4,294,6,152,152,19,38,152,,0,2,2,144,1,24,16,1,24,24
2019-06-14,16,24,17,,,,1,6,262,38,6,22,146,294,6,6,6,146,147,150,130,6,294,358
2019-06-15,292,358,6,,,,,,,,,,,,,,,,,,,,,
2019-06-16,,,,294,358,294,358,358,294,294,358,358,294,358,6,6,6,,326,326,6,6,6,17
2019-06-17,70,,,,,,,,,,,,,,,,,,6,6,6,,6,6
2019-06-18,6,6,,,294,294,294,294,294,358,294,358,358,310,6,6,6,6,6,6,6,6,6,70
2019-06-19,6,,,,,,,,,,,,,,,294,294,358,262,6,6,294,294,294
2019-06-20,36,6,294,294,294,294,358,358,292,294,294,294,294,292,294,326,294,294,294,294,294,294,6,358
2019-06-21,6,358,294,,,294,294,294,294,294,294,294,294,294,294,358,358,294,326,326,70,294,309,293
2019-06-22,294,292,,,,294,294,294,294,294,326,293,262,,,,,,,6,6,6,6,38
2019-06-23,53,6,6,,294,,294,294,294,358,294,294,358,294,,358,326,6,6,6,22,70,358,6
2019-06-24,326,294,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,,,,,358,358,294,292,294,294,294,294,294,294,,6,6,2,2,2,2,6,19,147
2019-06-26,150,,,,,,,,,,,,,,,,,,,176,16,24,147,176
2019-06-27,144,144,,144,153,154,18,19,19,19,153,144,17,152,,,,6,6,0,0,2,6,1
2019-06-28,1,,,176,,2,,2,18,24,24,24,24,,1,2,2,1,6,17,2,17,2,18
2019-06-29,1,153,19,49,294,36,294,146,179,294,294,294,294,,,4,6,2,0,0,6,17,1,16
2019-06-30,1,1,17,,,294,294,358,294,358,294,358,294,294,,262,6,326,326,326,326,326,4,6
2019-07-01,4,4,294,,,,,,,,,,,,,,,,,,,,,
2019-07-02,,,,,,,24,1,1,1,25,25,48,144,,0,24,,17,17,24,16,0,19
2019-07-03,24,,,,,,,,,,,,,,,,6,6,6,,,6,6,4
2019-07-04,4,4,,,,294,292,294,294,6,154,150,326,150,17,19,19,19,1,2,19,17,24,147
2019-07-05,17,,,,,,,,,,,,,,,,,2,17,2,2,19,6,17
2019-07-06,1,16,,24,176,160,160,144,16,128,24,154,154,128,,,,,,16,19,19,147,146
2019-07-07,18,,,,,,,17,4,,,1,6,260,,,,,128,,152,152,146,128
2019-07-08,16,24,,,,,,16,6,6,6,4,0,,,,,,,,,,,
2019-07-09,,,,,0,6,6,6,6,6,294,294,358,294,1,6,6,19,6,6,6,6,6,1
2019-07-10,2,6,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,,,294,358,358,326,292,358,292,326,294,294,293,293,24,2,146,18,152,128,128,128,146,144
2019-07-12,152,,,,,,,,,,,,,,,,,,,144,,24,147,144
2019-07-13,144,144,294,358,358,358,358,358,294,358,358,358,358,358,16,2,2,1,0,1,24,6,1,2
2019-07-14,1,,,,,,6,,6,6,6,6,6,,,0,6,1,6,6,6,6,0,0
2019-07-15,1,0,,6,262,6,38,4,294,36,294,5,38,,,,,,,,,0,0,0
2019-07-16,1,1,16,,,,6,6,6,38,38,0,2,2,16,0,24,128,128,0,6,6,16,2
2019-07-17,24,144,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,,,,24,24,24,19,2,25,24,16,16,17,16,,0,2,0,24,24,24,1,6,2
2019-07-19,17,,,,,,,,,,,,,,,,,,,,,1,1,1
2019-07-20,1,1,,,4,294,292,6,292,0,292,294,9,1,0,6,16,6,0,1,2,152,2,1
2019-07-21,6,,,,,,,,,,,,,,,,,,,,1,0,0,18
2019-07-22,6,144,,0,38,38,6,17,6,147,1,17,152,152,,,1,16,16,128,9,9,152,136
2019-07-23,24,,,,9,9,41,1,1,1,2,56,24,17,,24,18,18,144,128,138,128,24,152
2019-07-24,144,144,,6,1,1,6,38,17,6,19,18,17,,,,,,,,,,,
2019-07-25,,16,16,,,294,38,294,292,294,260,358,294,22,,6,6,6,6,0,0,6,6,1
2019-07-26,6,0,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,,,,152,144,144,144,144,144,138,144,18,144,147,,,,0,6,1,1,144,2,2
2019-07-28,6,,,,,,,,,,,,,,,,17,17,,,16,,,16
2019-07-29,24,1,,6,6,6,6,17,6,294,294,294,1,1,16,16,128,153,144,152,146,146,24,152
2019-07-30,24,,,,18,18,18,19,19,152,152,152,152,,1,0,0,0,17,17,0,0,1,17
