,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,292,,294,,294,,294,,294
2019-01-02,,294,293,,301,,358,,292,,356,,356,,56,,36,,1,,25,,2,
2019-01-03,6,,,,,,,294,,294,,294,,,,,,,294,,294,,293,
2019-01-04,292,,293,,,,292,,292,,358,,358,,,,,,,294,,294,,
2019-01-05,,294,,,,,,,,294,,4,,294,,,,,294,,294,,294,
2019-01-06,294,,0,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,292,,358,,356,,358,,294,,292,,51,,38,,54,,294,,294,
2019-01-08,294,,,,,,,,,,,,,,,1,,25,,25,,153,,24
2019-01-09,,144,16,,1,,358,,294,,422,,24,,1,,9,,1,,25,,1,
2019-01-10,9,,,,,,,,,,,,,,152,,144,,16,,152,,8,
2019-01-11,8,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,,,,292,,294,,358,,358,,294,,358,184,,294,,294,,294,,294,
2019-01-13,294,,36,,294,,55,,37,,0,,6,,,,,,,,,,,
2019-01-14,,,,293,,17,,17,,294,,358,,358,,,,,147,,147,,147,
2019-01-15,144,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,292,,356,,4,,301,,292,,301,,294,,38,,292,,155,,294,
2019-01-17,293,,,,,,,,,,,,,,,,,,,294,,,,294
2019-01-18,,294,153,,152,,25,,152,,24,,152,,146,,144,,36,,18,,19,
2019-01-19,17,,,292,,,,294,,358,,294,,358,,,,,292,,358,,358,
2019-01-20,358,,,,,,,,294,,294,,358,,,,,,,,,19,,19
2019-01-21,,,,184,,144,,51,,152,,144,,147,130,,138,,128,,313,,147,
2019-01-22,128,,292,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,292,,294,,358,,292,,292,,294,,292,,294,,292,
2019-01-24,292,,,,,,,,,,,,,,,294,,,,294,,294,,294
2019-01-25,,294,294,,293,,358,,358,,358,,358,,,,,,294,,294,,358,
2019-01-26,294,,,,,,,,,,,,,,294,,294,,294,,358,,358,
2019-01-27,358,,292,,358,,292,,358,,301,,292,,19,,19,,19,,147,,19,
2019-01-28,146,,152,292,,294,,294,,294,,294,,294,292,,37,,358,,358,,358,
2019-01-29,358,,,,,,17,,294,,56,,294,,,,,,,,,,,
2019-01-30,,,,,,,,24,,1,,24,,9,,,,,19,,176,,146,
2019-01-31,38,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,292,,1,,4,,313,,24,,176,,184,,176,,18,,18,,144,
2019-02-02,144,,,,,,,,,,,,,,,154,,17,,17,,144,,1
2019-02-03,,1,38,,6,,294,,301,,313,,292,,4,,6,,1,,4,,4,
2019-02-04,4,,,294,,294,,292,,294,,292,,294,4,,38,,4,,4,,4,
2019-02-05,36,,144,,152,,17,,48,,24,,24,16,,144,,128,,136,,152,,16
2019-02-06,,152,,25,,144,,184,,152,,301,,24,454,,198,,6,,438,,294,
2019-02-07,56,,294,,,,,,,,,,,,,,,,,,,,,
2019-02-08,,,317,,356,,358,,326,,492,,356,,38,,358,,358,,294,,294,
2019-02-09,358,,,,,,,,,,,,,,,,,,,144,,144,,144
2019-02-10,,176,,,,,144,,16,,144,,144,,16,,16,,24,,16,,16,
2019-02-11,16,,,,,,,,,,,294,,,294,,358,,358,,294,,294,
2019-02-12,294,,293,,292,,292,,358,,358,,358,,,,,,294,,358,,358,
2019-02-13,358,,358,310,,54,,294,,19,,19,,152,147,,128,,154,,128,,18,
2019-02-14,6,,,,,,,,,,,,,,,,,,,,,,,
