,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-01-01,,,,,,,,,,,,,,,,,,,,294,294,294,294,294
2019-01-02,294,294,,358,358,358,294,358,292,301,292,4,324,358,,56,25,36,36,1,25,25,25,16
2019-01-03,152,,,294,,,,,,,,,,,294,,,,,,,,,
2019-01-04,,,,,293,,,292,292,294,358,294,292,,,,,,294,294,,,294,
2019-01-05,294,294,,,,,,,,,1,24,1,,,,,,,41,294,358,294,294
2019-01-06,293,293,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,292,292,356,358,294,294,294,358,294,51,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,25,185,144,147,147,153,153
2019-01-09,152,152,358,,,,,,,,,,,,1,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,144,25,25,25,8,144,144,24,152
2019-01-11,147,147,184,,,,,,,,,,,,38,,,,,,,,,
2019-01-12,,,,,,292,,294,294,358,326,326,356,356,,184,,294,294,294,294,358,294,57
2019-01-13,294,150,,38,55,6,356,292,1,313,16,16,294,,,,,,,,,,,6
2019-01-14,2,2,4,,1,292,358,358,358,294,326,301,294,25,,,146,154,18,18,147,144,154,154
2019-01-15,152,152,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,292,292,358,358,356,294,294,326,184,,294,6,17,17,146,144,144,146,146
2019-01-17,146,,,,,,,,,,,,,,,,,,294,,292,,294,294
2019-01-18,294,294,,153,144,176,144,152,176,176,24,153,55,144,152,,,,,,,,,
2019-01-19,,,,292,,292,,,,294,,294,,292,,,294,,,294,294,294,294,
2019-01-20,294,294,,,,,,,,294,,294,313,,,,,,,,18,18,19,19
2019-01-21,18,18,16,,,,51,51,144,154,144,144,147,154,130,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,294,,,294,293,292,292,294,294,293,292,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,,294,,,294,294,294,294,
2019-01-25,,,,,358,358,358,358,293,292,292,358,358,358,,,294,294,294,294,358,358,294,294
2019-01-26,294,,,,,,,,,,,,,,294,,,,,,,,,
2019-01-27,,,,,,292,,294,358,292,301,294,293,292,,19,,,19,19,,19,19,19
2019-01-28,19,154,19,,,292,294,,294,294,294,294,294,358,,,292,,294,294,292,294,294,292
2019-01-29,36,292,,292,294,294,294,294,292,292,293,292,292,,,,,,,,,,,
2019-01-30,,,,,,,24,9,293,9,,,36,294,,,,,,,,,6,147
2019-01-31,147,6,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,1,,294,358,33,293,33,144,,184,19,176,176,19,24,,19,152
2019-02-02,176,,,,,,,,,,,,,,,,,,,,154,144,19,19
2019-02-03,144,144,,38,294,294,294,6,9,152,152,145,145,144,,6,1,2,1,4,4,1,1,19
