Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1824130,-,b'Texas',b'United States',31.66,-106.29,-7,1113,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Cloud Type,Wind Speed,Wind Direction,DHI,DNI,GHI,Solar Zenith Angle
2019,1,1,0,0,0,1.5,118,0,0,0,171.15
2019,1,1,1,0,0,1.3,102,0,0,0,165.68
2019,1,1,2,0,0,1.3,92,0,0,0,153.87
2019,1,1,3,0,0,1.4000000000000001,99,0,0,0,141.21
2019,1,1,4,0,0,1.6,108,0,0,0,128.46
2019,1,1,5,0,0,1.9000000000000001,105,0,0,0,115.86
2019,1,1,6,0,0,2.9000000000000004,92,0,0,0,103.56
2019,1,1,7,0,0,4.3,89,0,0,0,91.77
2019,1,1,8,0,0,5.9,95,37,658,144,80.66
2019,1,1,9,0,0,6.1000000000000005,101,53,858,335,70.83
2019,1,1,10,0,0,5.6000000000000005,107,62,946,496,62.690000000000005
2019,1,1,11,0,0,4.4,123,68,983,603,57.04
2019,1,1,12,0,0,3.2,140,69,999,647,54.660000000000004
2019,1,1,13,0,0,2.4000000000000004,163,67,994,623,55.97
2019,1,1,14,0,0,2,190,62,965,534,60.74
2019,1,1,15,0,0,1.3,213,54,899,387,68.24
2019,1,1,16,0,0,0.5,21,41,742,200,77.64
2019,1,1,17,0,0,1.4000000000000001,53,14,297,23,88.17
2019,1,1,18,0,0,2.4000000000000004,77,0,0,0,100.05
2019,1,1,19,0,0,3.9000000000000004,90,0,0,0,112.22
2019,1,1,20,0,0,4.800000000000001,91,0,0,0,124.75
2019,1,1,21,0,0,5.300000000000001,85,0,0,0,137.47
2019,1,1,22,0,0,5.9,83,0,0,0,150.19
2019,1,1,23,0,0,5.800000000000001,82,0,0,0,162.41
2019,1,2,0,0,0,5.4,81,0,0,0,171.05
2019,1,2,1,0,0,5.1000000000000005,77,0,0,0,165.71
2019,1,2,2,0,0,4.9,74,0,0,0,153.93
2019,1,2,3,0,0,4.9,76,0,0,0,141.28
2019,1,2,4,0,0,5.1000000000000005,81,0,0,0,128.53
2019,1,2,5,0,0,5.2,86,0,0,0,115.92
2019,1,2,6,0,0,5.2,88,0,0,0,103.62
2019,1,2,7,0,0,5.7,90,0,0,0,91.81
2019,1,2,8,0,0,6.6000000000000005,95,43,586,138,80.68
2019,1,2,9,0,4,6.4,100,77,0,77,70.83
2019,1,2,10,0,4,5.800000000000001,106,185,33,200,62.67
2019,1,2,11,0,4,4.7,121,255,239,385,56.99
2019,1,2,12,0,4,3,149,273,93,327,54.57
2019,1,2,13,0,4,1,220,179,7,183,55.86
2019,1,2,14,0,0,2.4000000000000004,313,73,915,522,60.61
2019,1,2,15,0,7,3.6,319,158,75,186,68.1
2019,1,2,16,0,4,3.5,321,70,376,151,77.5
2019,1,2,17,0,7,2,330,9,0,9,88.03
2019,1,2,18,0,4,1.9000000000000001,340,0,0,0,99.91
2019,1,2,19,0,0,1.7000000000000002,347,0,0,0,112.08
2019,1,2,20,0,7,1.4000000000000001,343,0,0,0,124.61
2019,1,2,21,0,4,1.3,331,0,0,0,137.34
2019,1,2,22,0,0,1.3,315,0,0,0,150.05
2019,1,2,23,0,0,1.6,299,0,0,0,162.27
2019,1,3,0,0,0,1.9000000000000001,288,0,0,0,170.93
2019,1,3,1,0,0,2.3000000000000003,285,0,0,0,165.73
2019,1,3,2,0,0,2.5,285,0,0,0,153.99
2019,1,3,3,0,0,2.5,287,0,0,0,141.34
2019,1,3,4,0,0,2.5,288,0,0,0,128.59
2019,1,3,5,0,0,2.4000000000000004,291,0,0,0,115.98
2019,1,3,6,0,0,2.3000000000000003,299,0,0,0,103.67
2019,1,3,7,0,0,2.6,306,0,0,0,91.85000000000001
2019,1,3,8,0,0,3.9000000000000004,319,32,709,147,80.7
2019,1,3,9,0,0,4.3,326,45,900,340,70.83
2019,1,3,10,0,0,4.4,317,51,995,508,62.64
