DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,ACTUAL_LZ_SOUTH_HOUSTON,COP_HSL_LZ_SOUTH_HOUSTON,STWPF_LZ_SOUTH_HOUSTON,WGRPP_LZ_SOUTH_HOUSTON,ACTUAL_LZ_WEST,COP_HSL_LZ_WEST,STWPF_LZ_WEST,WGRPP_LZ_WEST,ACTUAL_LZ_NORTH,COP_HSL_LZ_NORTH,STWPF_LZ_NORTH,WGRPP_LZ_NORTH,DSTFlag
03/05/2024,01,10493.29,11033.6,10829.2,6773.2,2292.88,1572.7,2412.6,1599.9,7170.24,8224.3,7401.7,4547.3,1030.17,1236.6,1014.9,626,N
03/05/2024,02,8976.09,9550.4,9396.3,5782.9,1772.88,1518.9,1926.1,1211.6,6199.51,7079.5,6453.7,3940,1003.7,952,1016.5,631.3,N
03/05/2024,03,6936.38,8359.3,7171.5,4273.8,1226.83,1673.7,1197.8,693.3,4793.91,5839.1,5038.2,3016.5,915.64,846.5,935.5,564,N
03/05/2024,04,5285.92,6909.8,5529.5,3113.2,733.41,1026.2,744.7,400.1,3773.57,5050.9,3986.3,2251.2,778.94,832.7,798.5,461.9,N
03/05/2024,05,4529.5,5659.5,4736.5,2546,421.27,500.9,458.5,219.5,3304.4,4300.7,3469.8,1869.1,803.83,857.9,808.2,457.4,N
03/05/2024,06,5189.83,5899.4,5148.8,2778,270.29,356.2,258.4,121,4024.47,4700.7,4001.4,2146.1,895.07,842.5,889,510.9,N
03/05/2024,07,6046.83,6323.4,6222.7,3490.8,264.29,281,280,129.4,4853.47,5242.3,5016.8,2818.7,929.07,800.1,925.9,542.7,N
03/05/2024,08,6678.38,7054.2,6712.1,3890.2,175.54,219.8,177.3,78.8,5478.5,5867.9,5497.7,3147.3,1024.34,966.5,1037.1,664.1,N
03/05/2024,09,5495.42,6156.9,5845.7,3319,127.57,219,136.9,59.6,4568.04,5025.3,4862.8,2720.9,799.81,912.6,846,538.5,N
03/05/2024,10,3450.45,4179,3531.4,1781.5,95.31,103.4,91.2,39.7,2871.04,3384.7,2949.5,1481.1,484.1,690.9,490.7,260.7,N
03/05/2024,11,3943.59,3438.8,3887,2096.3,174.87,90.5,152.6,69.6,3324.91,2948.6,3316.7,1819.2,443.81,399.7,417.7,207.5,N
03/05/2024,12,4282.19,3361.2,4483.6,2526.4,224.25,94.2,225.7,109.4,3588.92,2947.5,3767.5,2158.4,469.02,319.5,490.4,258.6,N
