Date,HourEnding,TotalResourceMWZoneSouth,TotalResourceMWZoneNorth,TotalResourceMWZoneWest,TotalResourceMWZoneHouston,TotalIRRMWZoneSouth,TotalIRRMWZoneNorth,TotalIRRMWZoneWest,TotalIRRMWZoneHouston,TotalNewEquipResourceMWZoneSouth,TotalNewEquipResourceMWZoneNorth,TotalNewEquipResourceMWZoneWest,TotalNewEquipResourceMWZoneHouston
02/12/2024,24,1325,2578,220,751,1231,1194,2307,255,586,2972,1391,1196
02/13/2024,01,1344,2578,220,1456,1231,1194,2307,255,586,2972,1391,1196
02/13/2024,02,1344,2578,220,1456,1231,1194,2325,255,586,2972,1391,1196
02/13/2024,03,1344,2578,220,1456,1231,1194,2403,255,586,2972,1391,1196
02/13/2024,04,1344,2578,220,1456,1231,1194,2403,255,586,2972,1391,1196
02/13/2024,05,1344,2578,220,1456,1231,1194,2403,255,586,2972,1391,1196
02/13/2024,06,1344,2578,220,1456,1231,1194,2423,255,586,2972,1391,1196
02/13/2024,07,1344,2578,220,1456,1231,1194,2460,255,586,2972,1391,1196
02/13/2024,08,1344,2576,220,1506,1279,1194,2470,255,586,2972,1391,1196
02/13/2024,09,1344,2576,220,1409,1279,1194,2458,220,586,2972,1391,1196
02/13/2024,10,1356,2576,220,1409,1279,1194,2430,220,586,2972,1391,1196
02/13/2024,11,1366,2576,220,1409,1279,1197,2342,220,824,2972,1391,1196
02/13/2024,12,1366,2576,220,1409,1439,1187,2342,220,824,2972,1391,1196
02/13/2024,13,1366,2576,220,1409,1439,1187,2342,220,824,2972,1391,1196
02/13/2024,14,1366,2576,220,1234,1439,1187,2342,220,824,2972,1391,1196
02/13/2024,15,1366,2576,220,1234,1439,1187,2332,220,824,2972,1391,1196
02/13/2024,16,1366,2576,220,1234,1363,1187,2309,220,824,2972,1391,1196
02/13/2024,17,1366,2576,220,1234,1315,1187,2285,220,824,2972,1391,1196
02/13/2024,18,1356,2576,220,1234,1315,1187,2285,220,824,2972,1391,1196
02/13/2024,19,1356,2576,220,1234,1315,1187,2285,480,824,2972,1391,1196
02/13/2024,20,1356,2576,240,1234,1615,1187,2712,480,824,2972,1391,1196
02/13/2024,21,1356,2506,240,1184,1569,1187,2678,780,824,2972,1391,1196
02/13/2024,22,1356,2488,240,1184,1569,1187,2664,780,824,2972,1391,1196
02/13/2024,23,1356,2488,240,1184,1569,1187,2664,780,824,2972,1391,1196
02/13/2024,24,1356,2488,240,1184,1569,1187,2647,780,824,2972,1391,1196
02/14/2024,01,1356,2208,251,1184,1569,1187,2647,780,824,2972,1391,1196
02/14/2024,02,1356,2208,251,1184,1269,1187,2647,780,824,2972,1391,1196
02/14/2024,03,1356,2208,251,1184,1269,1187,2647,780,824,2972,1391,1196
