Latitude (decimal degrees):	31.668
Longitude (decimal degrees):	-106.288
Radiation database:	PVGIS-NSRDB
Nominal power of the PV system (c-Si) (kWp):	0.4
System losses(%):	14.0
Fixed slope of modules (deg.):	35
Orientation (azimuth) of modules (deg.):	0

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		1.96		60.86		6.05		187.57		6.78
2		2.21		61.84		6.9		193.21		6.31
3		2.33		72.32		7.48		231.74		4.52
4		2.33		70.02		7.63		228.83		2.85
5		2.2		68.18		7.37		228.4		2.28
6		2.03		60.76		7.03		210.9		1.76
7		1.87		57.94		6.47		200.62		2.34
8		1.94		60.01		6.71		208.04		2.71
9		1.92		57.63		6.51		195.21		8.12
10		2.13		66.05		7.0		216.91		5.02
11		2.05		61.57		6.49		194.82		4.44
12		1.87		57.98		5.76		178.43		3.56
Year		2.07		62.93		6.78		206.22		1.7
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.41		?(0)		-9.1		-23.71

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2024
