Latitude (decimal degrees):	31.668
Longitude (decimal degrees):	-106.288
Elevation (m):	1112
Radiation database:	PVGIS-ERA5


Slope: 54 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	0.4
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190101:0030,0.0,0.0,0.0,0.0,-4.24,9.25,0.76,0.0
20190101:0130,0.0,0.0,0.0,0.0,0.0,7.9,1.03,0.0
20190101:0230,0.0,0.0,0.0,0.0,0.0,5.51,1.52,0.0
20190101:0330,0.0,0.0,0.0,0.0,0.0,5.43,1.31,0.0
20190101:0430,0.0,0.0,0.0,0.0,0.0,4.7,1.31,0.0
20190101:0530,0.0,0.0,0.0,0.0,0.0,4.05,1.24,0.0
20190101:0630,0.0,0.0,0.0,0.0,0.0,3.52,1.17,0.0
20190101:0730,0.0,0.0,0.0,0.0,0.0,0.26,2.07,0.0
20190101:0830,0.0,0.0,0.0,0.0,0.0,-0.29,2.07,0.0
20190101:0930,0.0,0.0,0.0,0.0,0.0,-0.03,1.79,0.0
20190101:1030,0.0,0.0,0.0,0.0,0.0,-0.07,1.66,0.0
20190101:1130,0.0,0.0,0.0,0.0,0.0,-0.47,1.59,0.0
20190101:1230,0.0,0.0,0.0,0.0,0.0,-1.27,1.79,0.0
20190101:1330,0.0,0.0,0.0,0.0,0.0,-2.24,2.28,0.0
20190101:1430,162.2,382.49,62.45,2.04,3.86,-2.15,3.03,0.0
20190101:1530,273.86,620.21,140.77,9.29,14.37,-0.08,4.48,0.0
20190101:1630,334.34,799.64,143.3,16.49,23.46,2.45,5.72,0.0
20190101:1730,369.81,915.98,138.51,22.48,30.45,4.31,6.48,0.0
20190101:1830,377.78,948.05,138.87,25.65,34.55,6.12,6.62,0.0
20190101:1930,362.6,920.97,132.73,25.22,35.08,7.37,5.59,0.0
20190101:2030,363.19,937.37,133.67,23.7,31.95,8.97,5.17,0.0
20190101:2130,342.33,876.93,135.85,18.85,25.7,10.14,5.03,0.0
20190101:2230,299.36,742.19,136.74,11.95,17.13,10.56,5.03,0.0
20190101:2330,209.42,488.51,113.19,4.13,6.97,9.37,5.17,0.0
20190102:0030,0.0,0.0,0.0,0.0,-4.11,6.55,5.17,0.0
20190102:0130,0.0,0.0,0.0,0.0,0.0,3.88,4.41,0.0
20190102:0230,0.0,0.0,0.0,0.0,0.0,2.23,4.41,0.0
20190102:0330,0.0,0.0,0.0,0.0,0.0,0.89,4.83,0.0
